EventBaseCode,Description
010,Make statement; not specified below
011,Decline comment
012,Make pessimistic comment
013,Make optimistic comment
014,Consider policy option
015,Acknowledge or claim responsibility
016,Deny responsibility
017,Engage in symbolic act
018,Make empathetic comment
019,Express accord
020,Make an appeal or request; not specified below
022,Appeal for diplomatic cooperation (such as policy support)
023,Appeal for aid; not specified below
024,Appeal for political reform; not specified below
025,Appeal to yield; not specified below
026,Appeal to others to meet or negotiate
027,Appeal to others to settle dispute
028,Appeal to engage in or accept mediation
030,Express intent to cooperate; not specified below
031,Express intent to engage in material cooperation; not specified below
032,Express intent to engage in diplomatic cooperation (such as policy support)
033,Express intent to provide material aid; not specified below
034,Express intent to institute political reform; not specified below
035,Express intent to yield; not specified below
036,Express intent to meet or negotiate
037,Express intent to settle dispute
038,Express intent to accept mediation
039,Express intent to mediate
040,Consult; not specified below
041,Discuss by telephone
042,Make a visit
043,Host a visit
044,Meet at a third location
045,Mediate
046,Engage in negotiation
050,Engage in diplomatic cooperation; not specified below
051,Praise or endorse
052,Defend verbally
053,Rally support on behalf of
054,Grant diplomatic recognition
055,Apologize
056,Forgive
057,Sign formal agreement
060,Engage in material cooperation; not specified below
061,Cooperate economically
062,Cooperate militarily
063,Engage in judicial cooperation
064,Share intelligence or information
070,Provide aid; not specified below
071,Provide economic aid
072,Provide military aid
073,Provide humanitarian aid
074,Provide military protection or peacekeeping
075,Grant asylum
080,Yield; not specified below
081,Ease administrative sanctions; not specified below
082,Ease political dissent
083,Accede to requests or demands for political reform; not specified below
084,Return; release; not specified below
085,Ease economic sanctions; boycott; embargo
086,Allow international involvement; not specified below
087,De-escalate military engagement
090,Investigate; not specified below
091,Investigate crime; corruption
092,Investigate human rights abuses
093,Investigate military action
094,Investigate war crimes
100,Demand; not specified below
101,Demand material cooperation; not specified below
102,Demand diplomatic cooperation (such as policy support)
103,Demand material aid; not specified below
104,Demand political reform; not specified below
105,Demand that target yields; not specified below
106,Demand meeting; negotiation
107,Demand settling of dispute
108,Demand mediation
110,Disapprove; not specified below
111,Criticize or denounce
112,Accuse; not specified below
113,Rally opposition against
114,Complain officially
115,Bring lawsuit against
116,Find guilty or liable (legally)
120,Reject; not specified below
121,Reject material cooperation
122,Reject request or demand for material aid; not specified below
123,Reject request or demand for political reform; not specified below
124,Refuse to yield; not specified below
125,Reject proposal to meet; discuss; or negotiate
126,Reject mediation
127,Reject plan; agreement to settle dispute
128,Defy norms; law
129,Veto
130,Threaten; not specified below
131,Threaten non-force; not specified below
132,Threaten with administrative sanctions; not specified below
133,Threaten with political dissent; protest
134,Threaten to halt negotiations
135,Threaten to halt mediation
136,Threaten to halt international involvement (non-mediation)
137,Threaten with repression
138,Threaten with military force; not specified below
139,Give ultimatum
140,Engage in political dissent; not specified below
141,Demonstrate or rally; not specified below
142,Conduct hunger strike; not specified below
143,Conduct strike or boycott; not specified below
144,Obstruct passage; block; not specified below
145,Protest violently; riot; not specified below
150,Demonstrate military or police power; not specified below
151,Increase police alert status
152,Increase military alert status
153,Mobilize or increase police power
154,Mobilize or increase armed forces
155,Mobilize or increase cyber-forces
160,Reduce relations; not specified below
161,Reduce or break diplomatic relations
162,Reduce or stop material aid; not specified below
163,Impose embargo; boycott; or sanctions
164,Halt negotiations
165,Halt mediation
166,Expel or withdraw; not specified below
170,Coerce; not specified below
171,Seize or damage property; not specified below
172,Impose administrative sanctions; not specified below
173,Arrest; detain; or charge with legal action
174,Expel or deport individuals
175,Use tactics of violent repression
176,Attack cybernetically
180,Use unconventional violence; not specified below
181,Abduct; hijack; or take hostage
182,Physically assault; not specified below
183,Conduct suicide; car; or other non-military bombing; not specified below
184,Use as human shield
185,Attempt to assassinate
186,Assassinate
190,Use conventional military force; not specified below
191,Impose blockade; restrict movement
192,Occupy territory
193,Fight with small arms and light weapons
194,Fight with artillery and tanks
195,Employ aerial weapons; not specified below
196,Violate ceasefire
200,Use unconventional mass violence; not specified below
201,Engage in mass expulsion
202,Engage in mass killings
203,Engage in ethnic cleansing
204,Use weapons of mass destruction; not specified below